time,open,high,low,close,volume
1757437920,4302.84,4302.84,4302.84,4302.84,0.0
1757437980,4302.84,4302.84,4302.84,4302.84,0.0
1757438040,4302.84,4302.84,4302.84,4302.84,0.0
1757438100,4302.84,4302.84,4302.84,4302.84,0.0
1757438160,4302.84,4302.84,4302.84,4302.84,0.0
1757438220,4302.84,4302.84,4302.84,4302.84,0.0
1757438280,4290.01,4290.01,4290.0,4290.0,5.5747
1757438340,4290.0,4290.0,4290.0,4290.0,1.6948
1757438400,4290.0,4290.0,4290.0,4290.0,0.0
1757438460,4290.0,4290.0,4290.0,4290.0,0.0
1757438520,4290.0,4290.0,4290.0,4290.0,0.0
1757438580,4290.0,4290.0,4290.0,4290.0,0.0
1757438640,4290.0,4290.0,4290.0,4290.0,0.0
1757438700,4290.0,4290.0,4290.0,4290.0,0.0
1757438760,4290.0,4290.0,4290.0,4290.0,0.0
1757438820,4290.0,4290.0,4290.0,4290.0,0.0
1757438880,4290.0,4290.0,4290.0,4290.0,0.0
1757438940,4289.52,4289.55,4289.52,4289.55,0.1809
1757439000,4289.55,4289.55,4289.55,4289.55,0.0
1757439060,4289.55,4289.55,4289.55,4289.55,0.0
1757439120,4289.55,4289.55,4289.55,4289.55,0.0
1757439180,4289.55,4289.55,4289.55,4289.55,0.0
1757439240,4288.15,4288.15,4288.15,4288.15,0.0003
1757439300,4288.15,4288.15,4288.15,4288.15,0.0
1757439360,4288.15,4288.15,4288.15,4288.15,0.0
1757439420,4288.15,4288.15,4288.15,4288.15,0.0
1757439480,4288.15,4288.15,4288.15,4288.15,0.0
1757439540,4288.15,4288.15,4288.15,4288.15,0.0
1757439600,4281.32,4281.32,4280.26,4280.26,0.0951
1757439660,4280.26,4280.26,4280.26,4280.26,0.0
1757439720,4280.26,4280.26,4280.26,4280.26,0.0
1757439780,4280.26,4280.26,4280.26,4280.26,0.0
1757439840,4292.95,4292.96,4292.95,4292.96,0.1162
1757439900,4292.96,4292.96,4292.96,4292.96,0.0
1757439960,4292.96,4292.96,4292.96,4292.96,0.0
1757440020,4292.96,4292.96,4292.96,4292.96,0.0
1757440080,4292.36,4292.36,4282.88,4282.88,0.0362
1757440140,4282.88,4282.88,4282.88,4282.88,0.0
1757440200,4280.45,4290.48,4280.45,4290.48,0.0399
1757440260,4290.48,4290.48,4290.48,4290.48,0.0
1757440320,4288.61,4288.61,4288.61,4288.61,0.0021
1757440380,4288.61,4288.61,4288.61,4288.61,0.0
